l, см	lambda, нм	k, нм/г	delta k
10,2	1533,0	-0,026684342857146912	8,72785511739883e-05
10,2	1551,0	-0,02232422857143518	0,0005848039148347752
10,2	1583,0	-0,020902971428576864	0,0007484878153436176
4,97	1560,0	-0,029332200000006706	0,0006376999911832243
4,97	1543,0	-0,015899199999999256	0,0010887185216984778
20,5	1520,0	-0,017793828571433475	0,000803573651878383
20,5	1537,0	-0,017975828571426024	0,0007489169978762004
20,5	1546,0	-0,018024171428573987	0,0007618037523027817
20,5	1554,0	-0,017854400000002775	0,0007272048172601424
20,5	1567,0	-0,018000114285709076	0,0006807899967587232
20,5	1573,0	-0,018206800000002347	0,0008326775859912639
